"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"506","Palms West",12,5,16,3.5,0.82051282051282
"507","Palms West",13,2,7.5,1,0.882352941176471
"508","Palms West",13,5,14,2.5,0.848484848484849
"509","Palms West",14,2,16.5,3.5,0.825
"510","Palms West",14,5,13,3.5,0.787878787878788
"511","Pandora",1,2,0,0,NA
"512","Pandora",1,5,0,0,NA
"513","Pandora",2,2,2.5,0,1
"514","Pandora",2,5,7.5,1,0.882352941176471
"515","Pandora",3,2,1.5,0,1
"516","Pandora",3,5,2.5,0.5,0.833333333333333
"517","Pandora",4,2,5.5,0,1
"518","Pandora",4,5,3,0.5,0.857142857142857
"519","Pandora",5,2,9.5,1,0.904761904761905
"520","Pandora",5,5,14.5,0,1
"521","Pandora",6,2,5.5,0.5,0.916666666666667
"522","Pandora",6,5,13,2,0.866666666666667
"523","Pandora",7,2,1.5,0.5,0.75
"524","Pandora",7,5,0.5,2.5,0.166666666666667
"525","Pandora",8,2,4,17,0.19047619047619
"526","Pandora",8,5,12,42,0.222222222222222
"527","Pandora",9,2,5,9,0.357142857142857
"528","Pandora",9,5,18.5,51.5,0.264285714285714
"529","Pandora",10,2,12.5,48,0.206611570247934
"530","Pandora",10,5,32.5,120.5,0.212418300653595
"531","Pandora",12,2,12,47,0.203389830508475
"532","Pandora",12,5,24.5,206,0.106290672451193
"533","Pandora",13,2,15,51.5,0.225563909774436
"534","Pandora",13,5,14.5,155.5,0.0852941176470588
"535","Pandora",14,2,9.5,55,0.147286821705426
"536","Pandora",14,5,22,150.5,0.127536231884058
"537","Peak",1,2,7.5,0.5,0.9375
"538","Peak",1,5,4.5,1,0.818181818181818
"539","Peak",2,2,3,2,0.6
"540","Peak",2,5,0,0.5,0
"541","Peak",4,2,2,1,0.666666666666667
"542","Peak",4,5,6,11.5,0.342857142857143
"543","Peak",6,2,3.5,4,0.466666666666667
"544","Peak",6,5,1,20.5,0.0465116279069767
"545","Peak",7,2,0,1,0
"546","Peak",7,5,0,30,0
"547","Peak",8,2,0,1.5,0
"548","Peak",8,5,0.5,14,0.0344827586206897
"549","Peak",10,2,0,7,0
"550","Peak",10,5,0.5,27.5,0.0178571428571429
"551","Peak",11,2,1,5.5,0.153846153846154
"552","Peak",11,5,2.5,21.5,0.104166666666667
"553","Peak",13,2,4,18,0.181818181818182
"554","Peak",13,5,0.5,34.5,0.0142857142857143
"555","Pelican",1,2,14.5,1.5,0.90625
"556","Pelican",1,5,0.5,5,0.0909090909090909
"557","Pelican",2,2,12,0.5,0.96
"558","Pelican",2,5,1,2.5,0.285714285714286
"559","Pelican",3,2,26.5,2,0.929824561403509
"560","Pelican",3,5,6.5,10,0.393939393939394
"561","Pelican",4,2,23.5,3,0.886792452830189
"562","Pelican",4,5,2,15,0.117647058823529
"563","Pelican",5,2,32.5,1.5,0.955882352941177
"564","Pelican",5,5,3.5,19,0.155555555555556
"565","Pelican",6,2,40,3,0.930232558139535
"566","Pelican",6,5,0,7.5,0
"567","Pelican",7,2,0,0,NA
